Order_ID,Customer_ID,Product_ID,Seller_ID,Quantity,Order_Date,Shipping_Cost,Discount_Amount,Payment_Method_ID,Total_Amount,Delivery_Status_ID,Review_Rating
ORD_1,CUST_3271,PROD_5784,SELL_530,4,2023-01-01,46.68,105.52,7001,5323.28,8001,3
ORD_2,CUST_2904,PROD_801,SELL_584,3,2023-01-01,33.36,182.41,7002,4167.68,8002,1
ORD_3,CUST_2738,PROD_1909,SELL_304,4,2023-01-01,47.56,164.42,7002,2166.74,8002,4
ORD_4,CUST_3645,PROD_3778,SELL_492,5,2023-01-01,35.92,84.85,7003,5459.57,8002,1
ORD_5,CUST_192,PROD_1732,SELL_392,1,2023-01-01,30.97,55.42,7003,1237.26,8002,5
ORD_6,CUST_177,PROD_927,SELL_696,3,2023-01-01,17.28,80.31,7004,2117.67,8001,3
ORD_7,CUST_1612,PROD_4559,SELL_359,3,2023-01-01,34.52,168.23,7003,1673.1,8002,3
ORD_8,CUST_4816,PROD_6419,SELL_911,3,2023-01-01,17.9,43.12,7005,4569.58,8001,3
ORD_9,CUST_2170,PROD_7049,SELL_7,2,2023-01-01,12.84,3.44,7004,445.52,8003,2
ORD_10,CUST_2362,PROD_7275,SELL_954,4,2023-01-01,30.65,6.67,7003,6571.3,8001,4
ORD_11,CUST_518,PROD_9527,SELL_784,5,2023-01-01,30.3,43.34,7005,3817.56,8003,2
ORD_12,CUST_806,PROD_1177,SELL_286,3,2023-01-01,25.47,152.55,7005,5629.98,8001,5
ORD_13,CUST_1514,PROD_7864,SELL_540,3,2023-01-01,27.54,147.5,7005,2042.98,8002,1
ORD_14,CUST_2781,PROD_4771,SELL_25,1,2023-01-01,27.67,27.36,7001,1527.18,8003,1
ORD_15,CUST_1797,PROD_73,SELL_898,4,2023-01-01,21.87,8.32,7003,1667.71,8003,3
ORD_16,CUST_901,PROD_8036,SELL_115,5,2023-01-01,16.86,82.44,7001,7014.37,8003,5
ORD_17,CUST_914,PROD_8395,SELL_978,5,2023-01-01,23.96,141.56,7003,527.05,8002,4
ORD_18,CUST_2344,PROD_820,SELL_254,4,2023-01-01,44.35,179.66,7005,5672.29,8002,1
ORD_19,CUST_3636,PROD_1871,SELL_280,3,2023-01-01,41.49,92.5,7005,211.91,8001,2
ORD_20,CUST_4815,PROD_6227,SELL_306,2,2023-01-01,41.9,40.78,7002,1911.88,8003,5
ORD_21,CUST_2238,PROD_136,SELL_507,1,2023-01-01,22.32,148.54,7004,806.16,8002,2
ORD_22,CUST_110,PROD_8874,SELL_336,2,2023-01-01,14.79,145.47,7003,3172.96,8001,2
ORD_23,CUST_477,PROD_3166,SELL_61,5,2023-01-01,14.16,172.77,7005,3899.49,8001,4
ORD_24,CUST_3108,PROD_5858,SELL_85,4,2023-01-01,36.1,107.69,7002,1672.33,8001,5
ORD_25,CUST_3047,PROD_5650,SELL_978,3,2023-01-01,26.68,23.79,7004,3367.21,8002,5
ORD_26,CUST_2080,PROD_9666,SELL_810,1,2023-01-01,49.48,135.75,7003,1550.62,8001,2
ORD_27,CUST_4758,PROD_4248,SELL_465,5,2023-01-01,14.42,14.07,7005,7983.25,8001,2
ORD_28,CUST_1526,PROD_6367,SELL_12,3,2023-01-01,5.31,135.07,7002,2399.63,8001,5
ORD_29,CUST_247,PROD_5002,SELL_807,1,2023-01-01,3.17,8.05,7001,1056.03,8001,1
ORD_30,CUST_1947,PROD_6272,SELL_312,4,2023-01-01,4.92,37.88,7005,1667.44,8002,2
ORD_31,CUST_3364,PROD_3405,SELL_205,5,2023-01-01,20.25,191.56,7002,3800.89,8003,1
ORD_32,CUST_756,PROD_3122,SELL_165,2,2023-01-01,49.14,106.9,7003,2050.24,8003,3
ORD_33,CUST_3279,PROD_9115,SELL_66,1,2023-01-01,10.08,160.06,7002,1349.67,8001,3
ORD_34,CUST_345,PROD_9475,SELL_925,4,2023-01-01,9.79,21.33,7004,7639.9,8002,3
ORD_35,CUST_1113,PROD_6001,SELL_239,2,2023-01-01,16.48,148.58,7003,2262.16,8001,5
ORD_36,CUST_1146,PROD_7098,SELL_745,1,2023-01-01,4.95,171.09,7003,424.75,8001,2
ORD_37,CUST_2526,PROD_6276,SELL_974,2,2023-01-01,43.55,83.66,7002,1552.15,8003,2
ORD_38,CUST_3610,PROD_6197,SELL_971,5,2023-01-01,25.72,93.12,7004,2631.7,8001,4
ORD_39,CUST_1497,PROD_9588,SELL_678,2,2023-01-01,48.42,118.46,7005,1667.82,8002,4
ORD_40,CUST_4153,PROD_1475,SELL_619,5,2023-01-01,5.12,152.9,7003,4467.02,8002,5
ORD_41,CUST_1741,PROD_2311,SELL_232,4,2023-01-01,11.86,85.66,7003,2117.28,8002,5
ORD_42,CUST_3713,PROD_8843,SELL_692,2,2023-01-01,29.75,45.17,7001,3742.4,8002,5
ORD_43,CUST_4910,PROD_9106,SELL_872,2,2023-01-01,4.22,87.17,7003,2951.09,8002,1
ORD_44,CUST_1291,PROD_7518,SELL_878,5,2023-01-01,22.89,197.48,7005,3688.26,8002,4
ORD_45,CUST_1281,PROD_6689,SELL_242,1,2023-01-01,25.59,112.45,7004,1238.04,8003,4
ORD_46,CUST_874,PROD_4235,SELL_38,2,2023-01-01,12.34,31.08,7002,3587.0,8003,3
ORD_47,CUST_1897,PROD_7730,SELL_607,3,2023-01-01,26.79,185.58,7005,2045.7,8003,2
ORD_48,CUST_3918,PROD_6955,SELL_153,4,2023-01-01,5.04,113.59,7002,5579.57,8003,3
ORD_49,CUST_4640,PROD_3017,SELL_126,3,2023-01-01,18.7,120.77,7003,3222.92,8002,1
ORD_50,CUST_4206,PROD_239,SELL_989,2,2023-01-01,11.63,96.92,7005,1356.81,8001,2
ORD_51,CUST_1848,PROD_1853,SELL_305,4,2023-01-01,21.96,45.06,7003,1860.9,8001,4
ORD_52,CUST_3499,PROD_6446,SELL_596,1,2023-01-01,29.97,124.66,7001,225.0,8002,5
ORD_53,CUST_1233,PROD_4980,SELL_247,3,2023-01-01,10.73,17.2,7002,1881.94,8002,5
ORD_54,CUST_4871,PROD_9269,SELL_634,5,2023-01-01,11.99,5.79,7004,1156.8,8002,5
ORD_55,CUST_4034,PROD_889,SELL_466,5,2023-01-01,23.13,32.72,7005,3683.61,8002,5
ORD_56,CUST_3342,PROD_8658,SELL_897,2,2023-01-01,10.06,126.14,7001,2452.72,8002,4
ORD_57,CUST_4249,PROD_755,SELL_112,5,2023-01-01,6.7,11.8,7004,8912.3,8003,1
ORD_58,CUST_140,PROD_5445,SELL_531,4,2023-01-01,48.37,138.89,7002,562.48,8003,2
ORD_59,CUST_2525,PROD_8606,SELL_956,4,2023-01-01,47.62,46.19,7003,1352.91,8001,1
ORD_60,CUST_1083,PROD_1837,SELL_439,2,2023-01-01,27.54,134.87,7005,1957.95,8002,4
ORD_61,CUST_4642,PROD_1771,SELL_192,1,2023-01-01,7.83,13.42,7001,102.48,8001,4
ORD_62,CUST_193,PROD_2864,SELL_792,1,2023-01-01,43.54,114.62,7004,360.43,8001,2
ORD_63,CUST_2912,PROD_8128,SELL_964,1,2023-01-01,3.22,189.96,7002,126.94,8003,4
ORD_64,CUST_386,PROD_4907,SELL_963,5,2023-01-01,40.29,119.26,7002,1492.93,8001,5
ORD_65,CUST_3956,PROD_3418,SELL_270,3,2023-01-01,39.01,88.75,7003,5863.8,8001,4
ORD_66,CUST_2728,PROD_5161,SELL_149,2,2023-01-01,49.42,153.8,7003,3548.36,8003,4
ORD_67,CUST_2945,PROD_845,SELL_820,2,2023-01-01,8.14,29.93,7004,2772.05,8003,1
